# ID_1   ID_2   R1/2_cir   R1/2_ell   Rpet_cir   Rpet_ell   C           A       G      M20    
  14191  5476   0.21       0.23       0.44       0.48       2.44        -0.08   0.44   -1.56  
  14195  5583   0.28       0.28       0.65       0.66       2.72        0.05    0.53   -1.66  
  14196  5591   0.2        0.21       0.41       0.43       2.49        0.03    0.45   -1.43  
  14198  5588   0.21       0.23       0.43       0.5        2.75        0.06    0.49   -1.63  
  14258  5624   0.21       0.21       0.52       0.53       2.7         0.02    0.53   -1.66  
  14263  5498   0.38       0.41       0.77       0.82       2.33        0.09    0.43   -1.56  
  14329  5646   0.27       0.3        0.62       0.73       2.74        0.09    0.53   -1.34  
  14332  5634   0.31       0.35       0.61       0.94       2.48        0.06    0.47   -1.23  
  14362  5652   0.18       0.19       0.41       0.43       2.83        0.02    0.5    -1.6   
  14378  5658   0.18       0.18       0.39       0.4        2.44        -0.15   0.47   -1.54  
  14424  5702   0.29       0.41       0.92       1.3        3.31        -0.02   0.52   -0.96  
  14447  5693   0.66       0.78       1.47       1.68       2.89        0.0     0.41   -1.45  
  14456  5671   0.25       0.29       0.54       0.58       2.43        0.05    0.45   -1.62  
  14505  5745   0.22       0.24       0.47       0.52       2.53        0.1     0.47   -1.45  
  14524  5753   0.27       0.3        0.66       0.72       2.71        0.01    0.5    -1.58  
  14533  5713   0.3        0.36       0.59       0.92       2.46        0.02    0.51   -1.27  
  14586  5755   0.26       0.31       0.51       0.66       2.39        -0.06   0.46   -1.29  
  14598  5760   0.29       0.33       0.87       0.75       3.35        0.12    0.52   -1.64  
  14602  5786   0.34       0.36       0.75       0.77       2.71        0.05    0.46   -1.8   
  14611  5790   0.16       0.16       0.34       0.35       2.52        0.09    0.47   -1.52  
  14678  5795   0.21       0.3        0.44       0.76       2.87        0.04    0.55   -1.31  
  14704  5829   0.36       0.48       1.02       1.19       5.16        0.1     0.55   -1.71  
  14716  5839   0.19       0.19       0.43       0.45       2.8         0.0     0.5    -1.75  
  14792  5879   0.19       0.2        0.41       0.43       2.74        0.11    0.49   -1.5   
  14837  5885   0.22       0.24       0.4        0.44       2.55        -0.08   0.41   -1.48  
  14908  5926   0.25       0.27       0.52       0.55       2.47        0.18    0.46   -1.38  
  14932  5945   0.26       0.3        0.58       0.65       2.5         0.07    0.47   -1.59  
  14947  5928   0.22       0.25       0.49       0.51       2.43        0.08    0.43   -1.54  
  14949  5940   0.16       0.18       0.37       0.4        2.76        0.09    0.5    -1.67  
  14969  5929   0.3        0.36       0.74       0.85       2.88        0.21    0.55   -1.44  
  15011  5949   0.41       0.6        1.13       1.39       3.52        0.04    0.49   -1.53  
  15012  5908   0.29       0.42       0.95       1.09       5.15        0.04    0.54   -1.59  
  15015  5957   0.41       0.47       0.89       1.11       2.68        0.04    0.46   -1.48  
  15079  6002   0.42       0.48       1.0        1.19       3.39        -0.13   0.46   -0.95  
  15163  6051   0.23       0.26       0.54       0.53       2.5         -0.03   0.46   -1.53  
  15194  6066   0.25       0.29       0.52       0.6        2.55        0.22    0.48   -1.33  
  15218  6055   0.37       0.42       0.67       0.94       2.62        -0.04   0.46   -1.0   
  15237  6090   0.21       0.23       0.46       0.48       2.56        0.03    0.48   -1.64  
  15267  6037   0.26       0.3        0.68       0.71       2.87        0.13    0.53   -1.74  
  15293  6103   0.35       0.37       0.71       0.76       2.14        0.06    0.45   -1.21  
  15297  6098   0.24       0.28       0.58       0.7        2.78        0.06    0.56   -1.53  
  15397  6161   0.22       0.24       0.47       0.51       2.52        0.13    0.47   -1.58  
  15430  6181   0.33       0.37       0.64       0.69       2.12        0.13    0.39   -1.03  
  15432  6071   0.21       0.22       0.46       0.47       2.71        0.04    0.46   -1.63  
  15451  6170   0.16       0.17       0.4        0.41       3.13        0.0     0.56   -1.8   
  15517  6179   0.42       0.48       0.95       1.07       3.07        0.13    0.47   -1.82  
  15518  6147   0.24       0.28       0.54       0.58       2.48        0.04    0.44   -1.58  
  15555  6240   0.34       0.4        0.72       0.8        2.45        0.19    0.45   -1.27  
  15558  6246   0.26       0.3        0.52       0.59       2.32        0.17    0.42   -1.01  
  15565  6177   0.39       0.45       0.73       0.82       2.05        0.02    0.38   -1.35  
  15591  6243   0.27       0.3        0.52       0.59       1.97        0.1     0.46   -1.04  
  15614  6230   0.17       0.17       0.4        0.4        2.88        0.02    0.51   -1.62  
  15622  6275   0.22       0.22       0.47       0.48       2.57        0.04    0.49   -1.56  
  15656  6296   0.41       0.6        1.28       1.39       3.73        0.07    0.5    -1.56  
  15750  6319   0.25       0.29       0.54       0.64       2.58        0.07    0.5    -1.67  
  15766  6353   0.32       0.38       0.73       0.73       2.22        0.17    0.46   -1.05  
  15768  6327   0.21       0.25       0.57       0.66       3.33        0.03    0.57   -1.77  
  15778  6355   0.27       0.29       0.56       0.6        2.58        0.11    0.46   -1.55  
  15789  6338   0.48       0.59       1.04       1.38       2.75        0.04    0.46   -1.13  
  15798  6318   0.23       0.35       0.96       1.13       3.61        0.29    0.58   -1.13  
