#ID ICD_IH ICD_IH_ERR ston_I PR alpha_IH
22937 0.235331257501 0.0370326084225 6.4845062068 26 0.77683280283
18459 -0.00322776117822 0.00266443521321 16.0578526851 7 2.35049320684
8390 0.00997253952814 0.00375744170181 15.2024283233 6 1.79268265269
25879 0.105648529809 0.00154546769347 18.6394658779 6 2.28033560157
860 0.0109733076043 0.00790106784373 22.3587129114 13 4.2071429085
22797 0.321759815589 0.0147231165282 6.94568042568 12 1.9506876887
19068 0.0441295001001 0.00279970961241 19.4611144957 8 2.37770534293
25394 0.0489138603103 0.00173233379256 25.8375630779 8 2.16163769084
20259 0.0034595534048 0.0110352694954 11.2647989742 11 1.73021387503
23594 0.0084287320118 0.00404138012296 17.4512132881 7 1.28404236341
13218 0.91783658823 0.00888784164398 2.69346121447 11 1.07433944093
6669 0.0540446827275 0.0105688616716 12.6763196417 8 1.87688717088
18471 0.0623492143573 0.00239700515085 24.9838058307 11 2.32489073719
22805 0.0675420294215 0.0128422131184 12.2507460675 11 1.47005477843
20540 0.0384589440321 0.00101513391331 43.078281685 9 1.79330951373
20533 0.0239424427837 0.00270995388416 28.8126912944 7 1.31740743923
4739 0.0429702173395 0.0128837454869 10.2621033647 9 1.51697874973
2000 0.161254105527 0.00631332973105 35.3380400588 6 1.12777164867
4956 0.322005392171 0.00663903754705 43.7034355622 24 4.29828624992
5047 0.554947123784 0.00746753434047 9.7609747108 21 2.23727384692
16150 0.163240591344 0.000156192824477 108.774506189 14 3.58027287559
13994 0.0114092046439 0.000456088835941 60.3875780723 8 2.90082814888
6278 0.0433456789235 4.86515826129e-05 94.3878014046 8 5.49366209567
16099 0.0603013914444 0.0030429474291 21.2103189285 12 2.1585303766
17538 0.0374987097017 0.00306280412028 24.0608982324 7 2.38993787328
18393 0.140322748008 0.00158952720639 44.3855564567 20 2.76220259481
21316 0.228495731471 0.00713984528516 11.2648947737 13 1.48406661444
21901 0.491407338521 0.0171016877099 4.5491571843 15 10.0772678246
7990 0.0324780739576 0.00163641014352 24.3374109425 6 2.0060120966
23287 0.320631400968 0.00902956439816 6.93887767349 11 2.18638819192
182 0.0867352017285 0.00285901125075 29.5603099173 10 1.38197822239
9749 0.107598293789 0.0103042146207 13.0949422546 15 3.98486787502
17154 0.0559389094869 0.0136676386715 9.5831703681 14 1.42797507651
5087 0.0666466068257 0.00761423384033 21.2034986651 12 1.3059547173
17027 0.0183134514095 4.52200723099e-05 380.922803903 9 1.36500076726
6655 0.151374648913 0.00261001682104 24.9553179715 16 4.54421012214
10663 0.025523293042 0.000880328282701 43.6212304933 13 1.91937944068
20650 0.0710961117023 0.00578281086091 21.7482366194 11 2.48948700528
2995 0.340506795053 0.0246215483083 19.29270759 14 3.60654653006
366 0.0699988593322 0.00161413259425 40.67532096 14 3.44869567934
4440 0.143842222293 0.0177206696021 9.87547871947 12 1.2420176066
